detected_language,label,is_unsafe,payload_length,num_special_chars,url_depth,lang_match,precision_m1,recall_m1,fpr_m1,fnr_m1
5,0,0,59,0,5,1,1.0,1.0,0.0,0.0
5,0,0,60,0,5,1,1.0,1.0,0.0,0.0
5,0,0,62,0,5,1,1.0,1.0,0.0,0.0
5,0,0,61,0,5,1,1.0,1.0,0.0,0.0
10,0,0,253,0,5,0,1.0,1.0,0.0,0.0
5,0,0,63,0,5,1,1.0,1.0,0.0,0.0
5,0,0,64,0,5,1,1.0,1.0,0.0,0.0
5,0,0,65,0,5,1,1.0,1.0,0.0,0.0
5,0,0,66,0,5,1,1.0,1.0,0.0,0.0
5,0,0,67,0,5,1,1.0,1.0,0.0,0.0
10,0,0,72,0,5,0,1.0,1.0,0.0,0.0
5,0,0,68,0,5,1,1.0,1.0,0.0,0.0
5,0,0,70,0,5,1,1.0,1.0,0.0,0.0
5,0,0,71,0,5,1,1.0,1.0,0.0,0.0
5,0,0,262,0,5,1,1.0,1.0,0.0,0.0
5,0,0,243,0,5,1,1.0,1.0,0.0,0.0
5,0,0,266,0,5,1,1.0,1.0,0.0,0.0
5,0,0,267,0,5,1,1.0,1.0,0.0,0.0
5,0,0,270,0,5,1,1.0,1.0,0.0,0.0
10,0,0,267,0,5,0,1.0,1.0,0.0,0.0
5,0,0,268,0,5,1,1.0,1.0,0.0,0.0
5,0,0,280,0,5,1,1.0,1.0,0.0,0.0
5,0,0,283,0,5,1,1.0,1.0,0.0,0.0
4,0,0,289,0,5,1,1.0,1.0,0.0,0.0
5,0,0,233,0,5,1,1.0,1.0,0.0,0.0
5,0,0,301,0,5,1,1.0,1.0,0.0,0.0
5,0,0,231,0,5,1,1.0,1.0,0.0,0.0
5,0,0,238,0,5,1,1.0,1.0,0.0,0.0
10,0,0,238,0,5,0,1.0,1.0,0.0,0.0
5,0,0,240,0,5,1,1.0,1.0,0.0,0.0
5,0,0,237,0,5,1,1.0,1.0,0.0,0.0
