request_id,is_unsafe,lang_match,payload_length,num_special_chars,url_depth,final_score,classification
1952,0.0,1.0,265.0,0.0,5.0,0.9,Bypassable ✅
1090,0.0,1.0,71.0,0.0,5.0,0.9,Bypassable ✅
1807,0.0,0.0,280.0,0.0,5.0,0.0,Blocked ❌
9965,1.0,1.0,43.0,0.0,5.0,1.69,Bypassable ✅
5421,1.0,1.0,80.0,0.0,5.0,1.69,Bypassable ✅
9598,1.0,1.0,77.0,0.0,5.0,1.69,Bypassable ✅
1523,0.0,1.0,258.0,0.0,5.0,0.9,Bypassable ✅
5816,1.0,1.0,345.0,0.0,5.0,1.69,Bypassable ✅
101,0.0,1.0,259.0,0.0,5.0,0.9,Bypassable ✅
2152,0.0,1.0,250.0,0.0,5.0,0.9,Bypassable ✅
9314,1.0,1.0,75.0,0.0,5.0,1.69,Bypassable ✅
7178,1.0,0.0,46.0,0.0,5.0,0.79,Further Inspection ⚠️
7645,1.0,1.0,44.0,0.0,5.0,1.69,Bypassable ✅
7103,1.0,0.0,20.0,0.0,5.0,0.79,Further Inspection ⚠️
2766,0.0,0.0,265.0,0.0,5.0,0.0,Blocked ❌
1691,0.0,1.0,240.0,0.0,5.0,0.9,Bypassable ✅
7289,1.0,1.0,69.0,0.0,5.0,1.69,Bypassable ✅
1964,0.0,1.0,245.0,0.0,5.0,0.9,Bypassable ✅
8733,1.0,1.0,263.0,0.0,5.0,1.69,Bypassable ✅
5666,1.0,0.0,121.0,0.0,5.0,0.79,Further Inspection ⚠️
10285,1.0,1.0,41.0,0.0,5.0,1.69,Bypassable ✅
8181,1.0,1.0,246.0,0.0,5.0,1.69,Bypassable ✅
2301,0.0,1.0,62.0,0.0,5.0,0.9,Bypassable ✅
4786,1.0,1.0,135.0,0.0,5.0,1.69,Bypassable ✅
10505,1.0,1.0,72.0,0.0,5.0,1.69,Bypassable ✅
4540,1.0,1.0,130.0,0.0,5.0,1.69,Bypassable ✅
10620,1.0,1.0,279.0,0.0,5.0,1.69,Bypassable ✅
3787,0.0,1.0,68.0,0.0,5.0,0.9,Bypassable ✅
774,0.0,1.0,268.0,0.0,5.0,0.9,Bypassable ✅
765,0.0,1.0,274.0,0.0,5.0,0.9,Bypassable ✅
9956,1.0,1.0,78.0,0.0,5.0,1.69,Bypassable ✅
8517,1.0,1.0,317.0,0.0,5.0,1.69,Bypassable ✅
33,0.0,1.0,262.0,0.0,5.0,0.9,Bypassable ✅
6199,1.0,1.0,110.0,0.0,5.0,1.69,Bypassable ✅
9567,1.0,1.0,67.0,0.0,5.0,1.69,Bypassable ✅
2286,0.0,1.0,62.0,0.0,5.0,0.9,Bypassable ✅
10066,1.0,0.0,66.0,0.0,5.0,0.79,Further Inspection ⚠️
8469,1.0,1.0,119.0,0.0,5.0,1.69,Bypassable ✅
8661,1.0,1.0,44.0,0.0,5.0,1.69,Bypassable ✅
265,0.0,1.0,242.0,0.0,5.0,0.9,Bypassable ✅
2956,0.0,1.0,66.0,0.0,5.0,0.9,Bypassable ✅
8454,1.0,1.0,313.0,0.0,5.0,1.69,Bypassable ✅
5974,0.0,1.0,60.0,0.0,5.0,0.9,Bypassable ✅
5502,1.0,1.0,274.0,0.0,5.0,1.69,Bypassable ✅
9456,1.0,1.0,69.0,0.0,5.0,1.69,Bypassable ✅
5563,1.0,1.0,104.0,0.0,5.0,1.69,Bypassable ✅
9805,1.0,1.0,41.0,0.0,5.0,1.69,Bypassable ✅
4938,1.0,1.0,213.0,0.0,5.0,1.69,Bypassable ✅
3411,0.0,1.0,74.0,0.0,5.0,0.9,Bypassable ✅
424,0.0,1.0,248.0,0.0,5.0,0.9,Bypassable ✅
2815,0.0,1.0,60.0,0.0,5.0,0.9,Bypassable ✅
7960,1.0,1.0,33.0,0.0,5.0,1.69,Bypassable ✅
9626,1.0,1.0,69.0,0.0,5.0,1.69,Bypassable ✅
2122,0.0,1.0,38.0,0.0,5.0,0.9,Bypassable ✅
668,0.0,1.0,260.0,0.0,5.0,0.9,Bypassable ✅
3412,0.0,1.0,64.0,0.0,5.0,0.9,Bypassable ✅
1206,0.0,1.0,252.0,0.0,5.0,0.9,Bypassable ✅
4216,0.0,1.0,245.0,0.0,5.0,0.9,Bypassable ✅
6851,1.0,0.0,46.0,0.0,5.0,0.79,Further Inspection ⚠️
8489,1.0,1.0,135.0,0.0,5.0,1.69,Bypassable ✅
367,0.0,1.0,242.0,0.0,5.0,0.9,Bypassable ✅
6715,1.0,1.0,299.0,0.0,5.0,1.69,Bypassable ✅
3615,0.0,1.0,75.0,0.0,5.0,0.9,Bypassable ✅
5013,1.0,0.0,69.0,0.0,5.0,0.79,Further Inspection ⚠️
8665,1.0,0.0,37.0,0.0,5.0,0.79,Further Inspection ⚠️
4685,1.0,0.0,61.0,0.0,5.0,0.79,Further Inspection ⚠️
2609,0.0,1.0,246.0,0.0,5.0,0.9,Bypassable ✅
2762,0.0,1.0,61.0,0.0,5.0,0.9,Bypassable ✅
1369,0.0,1.0,244.0,0.0,5.0,0.9,Bypassable ✅
8909,1.0,1.0,74.0,0.0,5.0,1.69,Bypassable ✅
10336,1.0,1.0,251.0,0.0,5.0,1.69,Bypassable ✅
7299,1.0,0.0,89.0,0.0,5.0,0.79,Further Inspection ⚠️
1277,0.0,1.0,62.0,0.0,5.0,0.9,Bypassable ✅
4295,0.0,1.0,38.0,0.0,5.0,0.9,Bypassable ✅
8806,1.0,1.0,324.0,0.0,5.0,1.69,Bypassable ✅
7938,1.0,1.0,58.0,0.0,5.0,1.69,Bypassable ✅
2465,0.0,1.0,69.0,0.0,5.0,0.9,Bypassable ✅
3154,0.0,1.0,57.0,0.0,5.0,0.9,Bypassable ✅
9254,1.0,1.0,73.0,0.0,5.0,1.69,Bypassable ✅
2325,0.0,1.0,58.0,0.0,5.0,0.9,Bypassable ✅
2473,0.0,1.0,267.0,0.0,5.0,0.9,Bypassable ✅
2995,0.0,1.0,242.0,0.0,5.0,0.9,Bypassable ✅
8305,1.0,1.0,43.0,0.0,5.0,1.69,Bypassable ✅
303,0.0,1.0,242.0,0.0,5.0,0.9,Bypassable ✅
3434,0.0,1.0,75.0,0.0,5.0,0.9,Bypassable ✅
9527,1.0,1.0,74.0,0.0,5.0,1.69,Bypassable ✅
3979,0.0,1.0,261.0,0.0,5.0,0.9,Bypassable ✅
8913,1.0,1.0,74.0,0.0,5.0,1.69,Bypassable ✅
9472,1.0,1.0,70.0,0.0,5.0,1.69,Bypassable ✅
1434,0.0,1.0,285.0,0.0,5.0,0.9,Bypassable ✅
7501,1.0,1.0,316.0,0.0,5.0,1.69,Bypassable ✅
9262,1.0,1.0,76.0,0.0,5.0,1.69,Bypassable ✅
852,0.0,1.0,66.0,0.0,5.0,0.9,Bypassable ✅
7585,1.0,0.0,6.0,0.0,5.0,0.79,Further Inspection ⚠️
9651,1.0,1.0,41.0,0.0,5.0,1.69,Bypassable ✅
10329,1.0,1.0,249.0,0.0,5.0,1.69,Bypassable ✅
8140,1.0,1.0,300.0,0.0,5.0,1.69,Bypassable ✅
5610,1.0,1.0,57.0,0.0,5.0,1.69,Bypassable ✅
3838,0.0,1.0,71.0,0.0,5.0,0.9,Bypassable ✅
5700,1.0,0.0,68.0,0.0,5.0,0.79,Further Inspection ⚠️
4337,0.0,1.0,66.0,0.0,5.0,0.9,Bypassable ✅
7403,1.0,1.0,44.0,0.0,5.0,1.69,Bypassable ✅
1121,0.0,1.0,59.0,0.0,5.0,0.9,Bypassable ✅
10354,1.0,1.0,61.0,0.0,5.0,1.69,Bypassable ✅
7606,1.0,0.0,8.0,0.0,5.0,0.79,Further Inspection ⚠️
866,0.0,1.0,64.0,0.0,5.0,0.9,Bypassable ✅
5538,1.0,1.0,47.0,0.0,5.0,1.69,Bypassable ✅
4708,1.0,1.0,128.0,0.0,5.0,1.69,Bypassable ✅
7199,1.0,0.0,46.0,0.0,5.0,0.79,Further Inspection ⚠️
2025,0.0,1.0,63.0,0.0,5.0,0.9,Bypassable ✅
2124,0.0,1.0,67.0,0.0,5.0,0.9,Bypassable ✅
7897,1.0,1.0,278.0,0.0,5.0,1.69,Bypassable ✅
9490,1.0,1.0,50.0,0.0,5.0,1.69,Bypassable ✅
1147,0.0,1.0,63.0,0.0,5.0,0.9,Bypassable ✅
304,0.0,1.0,238.0,0.0,5.0,0.9,Bypassable ✅
10306,1.0,1.0,68.0,0.0,5.0,1.69,Bypassable ✅
5340,1.0,1.0,81.0,0.0,5.0,1.69,Bypassable ✅
7908,1.0,1.0,262.0,0.0,5.0,1.69,Bypassable ✅
4040,0.0,1.0,66.0,0.0,5.0,0.9,Bypassable ✅
3815,0.0,1.0,71.0,0.0,5.0,0.9,Bypassable ✅
5696,1.0,1.0,101.0,0.0,5.0,1.69,Bypassable ✅
10267,1.0,1.0,40.0,0.0,5.0,1.69,Bypassable ✅
6392,1.0,1.0,257.0,0.0,5.0,1.69,Bypassable ✅
6145,0.0,0.0,242.0,0.0,5.0,0.0,Blocked ❌
2260,0.0,1.0,58.0,0.0,5.0,0.9,Bypassable ✅
4871,1.0,1.0,136.0,0.0,5.0,1.69,Bypassable ✅
5937,0.0,1.0,54.0,0.0,5.0,0.9,Bypassable ✅
107,0.0,1.0,266.0,0.0,5.0,0.9,Bypassable ✅
7163,1.0,0.0,46.0,0.0,5.0,0.79,Further Inspection ⚠️
7944,1.0,1.0,306.0,0.0,5.0,1.69,Bypassable ✅
3707,0.0,1.0,241.0,0.0,5.0,0.9,Bypassable ✅
9396,1.0,1.0,253.0,0.0,5.0,1.69,Bypassable ✅
856,0.0,1.0,71.0,0.0,5.0,0.9,Bypassable ✅
952,0.0,1.0,63.0,0.0,5.0,0.9,Bypassable ✅
3852,0.0,1.0,63.0,0.0,5.0,0.9,Bypassable ✅
4696,1.0,0.0,109.0,0.0,5.0,0.79,Further Inspection ⚠️
5117,1.0,0.0,123.0,0.0,5.0,0.79,Further Inspection ⚠️
8994,1.0,1.0,74.0,0.0,5.0,1.69,Bypassable ✅
7997,1.0,1.0,144.0,0.0,5.0,1.69,Bypassable ✅
3034,0.0,1.0,61.0,0.0,5.0,0.9,Bypassable ✅
9407,1.0,1.0,74.0,0.0,5.0,1.69,Bypassable ✅
3319,0.0,1.0,64.0,0.0,5.0,0.9,Bypassable ✅
8151,1.0,1.0,249.0,0.0,5.0,1.69,Bypassable ✅
5940,0.0,1.0,262.0,0.0,5.0,0.9,Bypassable ✅
4291,0.0,1.0,38.0,0.0,5.0,0.9,Bypassable ✅
8995,1.0,1.0,76.0,0.0,5.0,1.69,Bypassable ✅
7370,1.0,0.0,44.0,0.0,5.0,0.79,Further Inspection ⚠️
6786,1.0,1.0,46.0,0.0,5.0,1.69,Bypassable ✅
4593,1.0,0.0,73.0,0.0,5.0,0.79,Further Inspection ⚠️
9134,1.0,0.0,78.0,0.0,5.0,0.79,Further Inspection ⚠️
10068,1.0,1.0,66.0,0.0,5.0,1.69,Bypassable ✅
1180,0.0,1.0,61.0,0.0,5.0,0.9,Bypassable ✅
7431,1.0,0.0,44.0,0.0,5.0,0.79,Further Inspection ⚠️
2075,0.0,1.0,273.0,0.0,5.0,0.9,Bypassable ✅
9699,1.0,1.0,41.0,0.0,5.0,1.69,Bypassable ✅
3307,0.0,1.0,54.0,0.0,5.0,0.9,Bypassable ✅
1285,0.0,1.0,38.0,0.0,5.0,0.9,Bypassable ✅
3547,0.0,1.0,38.0,0.0,5.0,0.9,Bypassable ✅
3601,0.0,1.0,38.0,0.0,5.0,0.9,Bypassable ✅
6613,1.0,1.0,298.0,0.0,5.0,1.69,Bypassable ✅
3528,0.0,1.0,38.0,0.0,5.0,0.9,Bypassable ✅
10206,1.0,1.0,236.0,0.0,5.0,1.69,Bypassable ✅
3860,0.0,1.0,260.0,0.0,5.0,0.9,Bypassable ✅
5328,1.0,1.0,260.0,0.0,5.0,1.69,Bypassable ✅
9200,1.0,1.0,64.0,0.0,5.0,1.69,Bypassable ✅
9974,1.0,1.0,246.0,0.0,5.0,1.69,Bypassable ✅
4250,0.0,0.0,258.0,0.0,5.0,0.0,Blocked ❌
4463,1.0,0.0,316.0,0.0,5.0,0.79,Further Inspection ⚠️
4705,1.0,1.0,129.0,0.0,5.0,1.69,Bypassable ✅
9737,1.0,1.0,264.0,0.0,5.0,1.69,Bypassable ✅
3761,0.0,1.0,71.0,0.0,5.0,0.9,Bypassable ✅
346,0.0,1.0,243.0,0.0,5.0,0.9,Bypassable ✅
6080,0.0,1.0,244.0,0.0,5.0,0.9,Bypassable ✅
9373,1.0,1.0,71.0,0.0,5.0,1.69,Bypassable ✅
7798,1.0,1.0,241.0,0.0,5.0,1.69,Bypassable ✅
6864,1.0,0.0,46.0,0.0,5.0,0.79,Further Inspection ⚠️
1984,0.0,1.0,269.0,0.0,5.0,0.9,Bypassable ✅
1655,0.0,1.0,66.0,0.0,5.0,0.9,Bypassable ✅
2417,0.0,1.0,240.0,0.0,5.0,0.9,Bypassable ✅
6338,1.0,1.0,313.0,0.0,5.0,1.69,Bypassable ✅
10427,1.0,1.0,71.0,0.0,5.0,1.69,Bypassable ✅
6743,1.0,0.0,46.0,0.0,5.0,0.79,Further Inspection ⚠️
967,0.0,1.0,60.0,0.0,5.0,0.9,Bypassable ✅
5471,1.0,1.0,267.0,0.0,5.0,1.69,Bypassable ✅
8796,1.0,0.0,44.0,0.0,5.0,0.79,Further Inspection ⚠️
